gene_ID,9239-ZC-0007_S1_control,9239-ZC-0008_S1_control,9239-ZC-0009_S1_control,9239-ZC-0010_S1_KCTie2,9239-ZC-0011_S1_KCTie2,9239-ZC-0012_S1_KCTie2
ENSMUSG00000000001,1926.66,1851.64,1886.06,1824.19,1837.21,1998.78
ENSMUSG00000000028,22.061,28.0801,28.4126,45.5214,37.5111,29.0335
ENSMUSG00000000049,67.2334,59.4638,102.827,76.6092,19.1723,77.1202
ENSMUSG00000000056,1201.8,1010.06,1283.98,1223.53,1202.86,1096.02
ENSMUSG00000000058,776.335,646.668,596.665,715.02,802.739,746.707
ENSMUSG00000000078,764.78,825.887,589.9,971.493,1134.5,851.95
ENSMUSG00000000085,526.312,654.101,560.135,529.603,567.668,562.524
ENSMUSG00000000088,3221.76,2943.96,3278.06,3427.26,3827.62,3603.71
ENSMUSG00000000093,1579.99,1619.56,1584.34,1687.62,1798.87,1550.57
ENSMUSG00000000120,36.7683,53.6826,25.7066,41.0803,45.0133,32.6627
ENSMUSG00000000126,33.6167,62.7673,40.5894,52.1831,30.0089,48.0867
ENSMUSG00000000127,312.005,263.457,262.478,301.996,280.917,289.427
ENSMUSG00000000131,1355.17,1367.66,1435.51,1493.32,1422.92,1436.25
ENSMUSG00000000134,595.646,627.674,713.022,691.703,712.711,685.01
ENSMUSG00000000142,131.315,156.918,87.9437,119.91,65.8529,92.5443
ENSMUSG00000000148,407.603,430.286,476.249,441.89,330.931,353.846
ENSMUSG00000000149,3871.63,3841.16,4064.95,3896.96,3832.72,3811.21
ENSMUSG00000000154,7303.23,7224.75,7949.97,5654.75,5685.76,6260.33
ENSMUSG00000000157,315.157,381.559,336.892,381.936,309.258,281.262
ENSMUSG00000000159,1099.72,1110.88,1065.34,1176.34,1217.59,1110.23
ENSMUSG00000000167,44.1219,39.6425,46.0014,61.0653,64.1857,65.3254
ENSMUSG00000000168,2735.56,2418.18,2751.95,2599.17,2730.79,2692.87
ENSMUSG00000000171,3687.33,3320.06,3807.29,3393.01,3729.44,3577.47
ENSMUSG00000000184,584.09,715.217,561.487,682.821,573.503,506.272
ENSMUSG00000000194,1643.01,1438.69,1458.51,1538.85,1535.34,1370.02
ENSMUSG00000000197,8.40418,37.1649,23.0007,4.44112,5.00148,23.5897
ENSMUSG00000000216,846.721,868.832,970.087,1234.63,1487.94,1028.87
ENSMUSG00000000244,16.8084,28.906,25.7066,19.985,20.8395,27.9353
ENSMUSG00000000253,835.642,992.869,1050.85,1056.9,1050.62,1012.27
ENSMUSG00000000266,850.927,747.431,857.793,675.048,676.865,802.962
ENSMUSG00000000275,2510.79,2305.81,2753.34,2366,2339.9,2251.89
ENSMUSG00000000276,241.62,254.373,262.478,279.79,250.908,297.594
ENSMUSG00000000278,2571.68,2270.36,2429.95,2540.32,2917.53,2763.63
ENSMUSG00000000282,984.338,806.063,943.028,1030.34,915.272,691.36
ENSMUSG00000000290,65.1323,96.6288,64.9431,97.7046,94.1947,58.9743
ENSMUSG00000000295,106.103,78.4592,89.2968,107.697,95.0281,82.564
ENSMUSG00000000296,148.123,173.436,173.182,242.041,195.891,214.122
ENSMUSG00000000303,5372.43,5881.73,5183.16,5813.45,5551.81,5548.9
ENSMUSG00000000305,60.9303,53.6826,43.2954,82.1606,58.3506,46.2721
ENSMUSG00000000308,887.689,875.435,845.617,1191.33,1341.22,1016.17
ENSMUSG00000000317,182.791,167.655,170.476,118.8,130.872,100.71
ENSMUSG00000000320,71.4355,94.151,55.4722,88.8223,129.205,89.8224
ENSMUSG00000000326,3389.35,3657.15,3811.08,4087.86,4492.13,4243.06
ENSMUSG00000000339,286.793,262.632,259.772,295.334,315.927,271.282
ENSMUSG00000000340,2309.05,2117.57,2278.42,1772.01,1878.06,2123.08
ENSMUSG00000000346,3590.39,3805.49,3909.96,3509.58,3999.48,3730.58
ENSMUSG00000000355,300.449,323.747,270.596,209.843,265.912,316.647
ENSMUSG00000000359,111.355,184.172,124.474,170.983,105.865,156.962
ENSMUSG00000000374,2326.91,2181.17,2308.19,2283.85,2349.03,2349.9
ENSMUSG00000000378,314.106,297.319,281.42,319.761,265.912,287.613
ENSMUSG00000000384,846.717,828.363,814.493,807.174,1006.13,828.36
ENSMUSG00000000385,3909,4140.17,3638.16,4286.76,4365.47,4125.43
ENSMUSG00000000399,2772.34,2419.87,2685.66,2465.94,2705.83,2634.83
ENSMUSG00000000402,320.409,355.957,419.424,498.515,559.332,335.7
ENSMUSG00000000409,10.5052,28.0801,8.11789,13.3233,18.3388,14.5168
ENSMUSG00000000416,525.217,665.029,528.629,672.368,824.949,542.374
ENSMUSG00000000420,3284.98,3116.89,3734.27,2553.69,2852.52,3146.56
ENSMUSG00000000439,718.877,856.628,781.822,771.977,738.012,735.572
ENSMUSG00000000440,91.3954,50.3791,52.7663,63.2859,30.0089,32.6627
ENSMUSG00000000441,1757.68,1683.4,1847.74,1828.61,1926.42,1899.53
ENSMUSG00000000486,74.5871,57.812,75.7669,62.1756,82.5244,69.8619
ENSMUSG00000000489,646.07,684.659,570.958,831.599,731.049,508.995
ENSMUSG00000000530,371.886,406.336,313.892,481.861,394.283,391.046
ENSMUSG00000000531,77.7386,107.365,128.533,122.131,79.1901,137.002
ENSMUSG00000000532,1493.84,1490.72,1283.98,1321.23,1492.94,1377.28
ENSMUSG00000000538,3604.42,3601.7,3873.55,4076.74,4172,3871.44
ENSMUSG00000000552,94.547,104.062,106.886,173.204,127.538,91.637
ENSMUSG00000000555,213.256,183.346,132.592,213.173,226.734,187.81
ENSMUSG00000000561,489.624,557.417,534.756,493.25,521.043,512.877
ENSMUSG00000000563,5177.37,4300.94,5080.27,4704.56,5151.03,5313.62
ENSMUSG00000000567,24.162,19.8213,20.2947,38.8598,35.844,20.8678
ENSMUSG00000000568,909.179,880.636,903.263,827.735,963.315,892.044
ENSMUSG00000000579,156.799,154.208,175.159,175.485,142.075,173.366
ENSMUSG00000000581,479.038,453.411,504.662,380.826,399.285,460.906
ENSMUSG00000000594,7234.95,6433.65,7261.45,7649.82,8631.72,8366.19
ENSMUSG00000000600,1363.58,1414.74,1279.92,1201.32,1206.51,1322.84
ENSMUSG00000000605,2364.66,2057.85,2381.44,2053.28,2107.31,2171.25
ENSMUSG00000000628,128.164,31.3837,18.9417,131.013,20.0059,29.9408
ENSMUSG00000000631,7041.66,7812.95,7603.72,8284.92,8077.44,7487.84
ENSMUSG00000000673,2086.34,1973.04,2401.54,1437.82,1462.1,1792.81
ENSMUSG00000000682,49.3745,61.9415,46.0014,49.9625,82.5244,54.4378
ENSMUSG00000000686,141.459,118.715,75.6405,89.3505,82.6261,127.924
ENSMUSG00000000690,714.355,775.506,752.256,770.533,799.404,702.246
ENSMUSG00000000693,98.2693,102.73,68.9749,99.5147,84.237,69.3301
ENSMUSG00000000708,1736.16,1646.68,1907.74,1419.91,1667.24,1659.55
ENSMUSG00000000711,2842.89,3018.19,3125.76,2829.72,3047.87,3217.92
ENSMUSG00000000732,205.902,248.592,182.652,299.775,221.732,201.42
ENSMUSG00000000738,1504.35,1639.39,1576.22,1621,1609.65,1585.04
ENSMUSG00000000739,27.3136,27.2542,12.1768,16.6542,13.3373,26.3116
ENSMUSG00000000740,646.604,640.266,613.142,642.002,667.965,639.258
ENSMUSG00000000743,1469.68,1480.82,1488.28,1364.53,1559.64,1412.66
ENSMUSG00000000751,811.005,833.317,894.318,762.762,776.893,844.692
ENSMUSG00000000753,55.6777,50.3791,32.4715,42.1906,20.8395,27.2189
ENSMUSG00000000759,776.335,853.965,837.495,886.003,791.068,756.685
ENSMUSG00000000776,253.176,261.806,244.89,250.923,322.596,304.852
ENSMUSG00000000782,45.1724,27.2542,39.2364,48.8523,24.1738,37.1992
ENSMUSG00000000787,5036.98,4416.85,4958.18,4785.14,5143.07,4698.01
ENSMUSG00000000794,89.2944,98.2805,93.3557,127.682,79.1901,92.5443
ENSMUSG00000000804,2220.79,2126.64,2121.47,2126.19,2098.96,2143.03
ENSMUSG00000000805,2621.05,2743.65,2839.91,1923.02,2247.33,2221.97
ENSMUSG00000000811,440.167,509.574,439.719,340.855,400.952,386.508
ENSMUSG00000000823,1461.29,1615.44,1518.04,1451.14,1557.12,1455.31
ENSMUSG00000000826,2622.13,2598.21,2582.82,2794.55,2781.64,2763.61
ENSMUSG00000000827,808.903,697.873,761.729,754.99,789.401,795.698
ENSMUSG00000000838,912.901,867.179,924.088,822.715,899.433,947.214
ENSMUSG00000000876,2467.68,2219.98,2677.55,2036.25,2168.14,2258.26
ENSMUSG00000000881,483.242,428.637,412.659,467.427,441.796,491.754
ENSMUSG00000000884,35.7177,64.4191,56.8252,68.1114,65.9602,40.8284
ENSMUSG00000000901,126.102,156.185,154.276,118.815,108.387,73.514
ENSMUSG00000000902,735.365,868.831,838.848,866.019,901.098,837.435
ENSMUSG00000000915,1293.39,1427.26,1378.06,1694.52,1771.66,1601.88
ENSMUSG00000000916,231.222,206.828,222.592,221.803,216.888,233.393
ENSMUSG00000000934,513.705,504.617,500.603,589.558,550.163,455.463
ENSMUSG00000000938,713.304,690.439,661.607,596.219,648.526,639.643
ENSMUSG00000000942,76.4102,75.7829,85.8392,70.61,60.7513,62.6067
ENSMUSG00000000948,89.514,78.6232,83.5759,67.2031,56.395,77.5131
ENSMUSG00000000957,175.437,225.467,151.534,227.607,152.545,177.83
ENSMUSG00000000958,2697.4,2533.89,2620.79,3120.75,3686.12,2718.69
ENSMUSG00000000959,1071.92,1017.41,1124.27,1140.52,1171.1,1143.69
ENSMUSG00000000976,405.502,483.143,495.191,477.419,490.145,504.457
ENSMUSG00000001016,538.528,557.373,507.523,537.098,548.308,485.83
ENSMUSG00000001017,1367.78,1208.2,1347.57,1079.19,1260.38,1231.21
ENSMUSG00000001018,399.588,427.909,465.271,411.08,415.311,421.467
ENSMUSG00000001020,19.9599,14.866,17.5888,43.3009,25.841,37.1992
ENSMUSG00000001025,297.298,504.617,108.238,590.666,166.716,362.012
ENSMUSG00000001029,101.901,101.584,108.238,89.9326,141.709,102.525
ENSMUSG00000001034,231.115,246.114,197.535,311.988,210.896,220.473
ENSMUSG00000001036,846.725,796.978,794.2,928.194,833.577,782.089
ENSMUSG00000001039,101.901,113.972,121.768,123.241,133.373,142.446
ENSMUSG00000001052,1145.07,1195.06,1187.92,1277.93,1257.04,1171.32
ENSMUSG00000001053,330.914,287.408,285.479,338.635,374.278,271.282
ENSMUSG00000001054,477.987,555.824,512.779,481.86,576.004,473.611
ENSMUSG00000001056,505.303,455.065,604.784,425.236,494.313,491.756
ENSMUSG00000001062,637.667,659.057,694.079,619.536,633.522,629.664
ENSMUSG00000001065,681.373,765.89,689.812,678.532,719.772,713.783
ENSMUSG00000001082,164.932,165.177,170.476,218.725,188.389,139.724
ENSMUSG00000001089,1942.44,2008.54,1780.53,2150.6,2080.62,2013.31
ENSMUSG00000001095,1225.81,703.85,1122.77,704.184,799.376,828.812
ENSMUSG00000001098,760.293,892.82,859.859,886.849,781.116,795.6
ENSMUSG00000001100,1805.86,1811.18,2007.81,1804.19,1907.23,1913.48
ENSMUSG00000001105,503.2,495.532,512.78,531.824,530.157,497.199
ENSMUSG00000001119,423.36,492.228,373.423,636.19,545.995,479.053
ENSMUSG00000001120,339.319,346.872,435.659,369.723,322.595,361.105
ENSMUSG00000001123,144.972,127.187,127.18,166.542,170.05,153.333
ENSMUSG00000001127,1545.32,1602.22,1551.87,1636.55,1670.5,1455.3
ENSMUSG00000001128,52.5261,50.3791,37.8835,57.7345,52.5156,29.9408
ENSMUSG00000001134,97.7006,99.434,85.2378,93.2634,90.5331,78.7442
